fid,id,survey_id,weather,start_time,habitat,dom_veg,patch_id,elevation,sector,richness_richness
1,1,pilot_1,"cool breeze, sun","1045","5","Oak, mux fir",3,,Claggan,
2,2,pilot_2,"overcast, showers, gusts","1820","2","melinia, cross-leave heath",2,,Rahoy,
3,1,Woodland_16,"Overcast, mild","0525","5","Matute oak, grass, bluebells",,,Claggan,"3"
4,2,Woodland_14,"Breezy, sunny","0630","5",Oak,,,Claggan,"1"
5,,Woodland_15,"Ohercaar, showers","0730","5",Oakk wwod,,,Claggan,"1"
6,,Regen_54,"Cloudy, showers","0620","3",Birch  sitka,,,Clounlaid,
7,,Open_18,"Overcast, showery","0735","1","Milinia, some heath",,,Clounlaid,"2"
8,,Open_18_1,Gusty clear sky,"0853","1",Deer grass molinia,,,Clounlaid,"2"
9,,Regen_56,"Sun, gusts","1720","3","Birch, alder, molinia, ling",,,Clounlaid,"1"
10,,Open_82,"Sun, showers, windy, chilly","1850","1",Nolinia,,,Clounlaid,"2"
11,,Woodland_2,"Cloudy, sun","0645","5","Oak , irch, alfer",,,Rahoy,"2"
12,,Woodland_11,"Patchy clouds, chilly, gusty","0810","5",Ash birch oak,,,Rahoy,"2"
13,,Regen_27,"Sun, windy","1140","2","Molinia ling, stine moss",,,Claggan,"0"
14,,Regen_36,"Sun, gusts","0655","2","Ling  molinia, bog myrtle, vcotton grass",,,Rahoy,"1"
15,,Regen_11,"Sun, gusts","0756","2","Molinia, ling, ash regen",,,Rahoy,"1"
16,,Regen_22,"Sun, wind, chillu","850","2","Moliia, ling, bog myryle",,,Rahoy,"4"
17,,Woodland_80,"Sun, light breeze","1150","5","Oak, blue bell, blaeberry, birch regen",,,Claggan,"4"
18,,Woodland_22,"Dry, sun, windy","1300","5","Oak, vlue bell, feayher moss, molinia",,,Claggan,"2"
19,,Woodland_82,"Cloudy, breezy","1409","5","Oak, birch, bluebell",,,Claggan,"2"
20,,Regen_24,"Sun, cloudy, windy, spitting rain","1615","4","Burch, molinia",,,Claggan,"2"
21,,Open_67,"Clear sky, windy, chilly","1428","1","Molinia, ling, deer grass",,,Rahoy,"2"
22,,Open_7,"Overcast, breezy, mild","1553","2","Ling, molinia, wooly fringe moss, LOCHAN",,,Rahoy,"8"
23,,Open_62,"Sun, breeze, mild","1814","1","Ling, moliona, deer grass",,,Rahoy,"2"
24,,Woodland_54,"Sun, light breeze","1955","5","Oak, scots pine, blue bell, feather koss",,,Rahoy,"6"
25,,Woodland_49,"Misty, cold, dewy","0621","5","Oak, bracken, bkuebell",,,Rahoy,"1"
26,,Woodland_12,"Overcast, chilly","0753","5","Oak, bracken, feather moss",,,Rahoy,"2"
27,,Woodland_58,"Overcast, mild","0851","5","Oak, feathermoss",,,Rahoy,"3"
28,,Open_80,"Windy, overcast, mild","1849","2","Ling, molinia, deer grass, some rowan regen",,,Rahoy,"2"
29,,Open_70,"Still, overcast","2000","2","Ling, molinia, bracken, blaeberry, dog violet",,,Rahoy,"0"
30,,Open_49,"Windy, sun, clouds","1513","1","Deer grass, mosss, molinia, bell heather",,356,Clounlaid,"1"
31,,Open_20,"Gusty, overcast, dry","1653","1","Molinia, ling",,350,Clounlaid,"1"
32,,Regen_4,"Windy, patchy clouds, dry","1818","3","Birch, bluebell, bracken, molinia",,206,Clounlaid,"1"
33,,Open_60,"Sun, wind, mild","2038","1","Molinia, ling, deer grass",,309,Clounlaid,"3"
34,,Regen_21,"Overcast, drizzle, mild","0609","3","Meliniea, bog myrtle, birch  rowan, heather",,106,Clounlaid,"4"
35,,Regen_68,"Overcast, mild, still","0726","3","Birch, molinia, bog mytrle, ling, rowan",,76,Clounlaid,"3"
36,,Regen_0,"Overcast, mild, breeze","0551","3","Ling, big myrtle, birch regen",,45,Rahoy,"1"
37,,Regen_5,"Overcast, mild, breeze","0657","2","Ling, molinia, bog myrtle, scattered willow and birch",,40,Rahoy,"2"
38,,Regen_6,"Overcast, mild, breeze","0757","5","Oak, noss, wood srrel, bluebell, ",,53,Rahoy,"1"
39,,Regen_84,"Cloudy, mild, breeze","0633","2","Ling, molinia,",,97,Claggan,"2"
41,,Regen_26,"Overcast, mild, still","0806","5","Oak, blaeberry, feather moss",,66,Claggan,"2"
42,,Woodland_83,"Overcast, mild, ","1651","5","Oak, bracken, feather moss, birch",,59,Claggan,"5"
43,,Regen_41,"Patchy clouds, mild, still","1909","5","Oak, birch, bracken",,72,Claggan,"0"
44,,Regen_64,"Overcast, still, mild","2029","5","Oak, birch, alder, bracken, bluebell, feather moss",,61,Claggan,"3"
45,,Regen_49,"Overcast, still mold","0527","3","Birch, rowan, bracken, bluebel, ling, molinia",,113,Clounlaid,"3"
46,,Regen_65,"Overcast,still, mild","0622","3","Molinia, ling, scots pine, birch, rowan",,164,Clounlaid,"2"
47,,Regen_2,"Sun, clouds, mild, breeze","0700","3","Molinia, ling, birch, oak, rowan",,163,Clounlaid,"1"
48,,Regen_5_1,"Sunny, clear, hot","1559","1","Molinia, ling, bog myrtle",,49,Clounlaid,"4"
49,,Regen_19,"Clear sky, hot, breeze","1728","1","Molini, ling",,64,Clounlaid,"2"
50,,Regen_12,"Clear, breeze, hot","1834","1","Molinia, ling",,145,Clounlaid,"2"
51,,Regen_71,"Sunny, clear, hot, breeze","1938","1",Molinia ling  cotton grass,,182,Clounlaid,"2"
52,,Regen_57,"Breeze, clear sky, sunny, mild","2057","3","Ling, molinia, birch, rowan, scots pine",,86,Clounlaid,"2"
53,,Regen_12_1,"Clear, breeze","2155","2","Molinia, ling, cottongrass",,121,Clounlaid,"0"
54,,Open_9,"Clear, breezy, mild","0607","1","Blaeberry, ling, molinia, deer grass",,452,Clounlaid,"2"
55,,Open_33,"Clear, wind, warm","0700","1","Molinua, deer rass,vgrey moss",,459,Clounlaid,"2"
56,,Woodland_40,"Hot, clear, breeze","1643","5","Oak, bracken, ",,49,Rahoy,"3"
57,,Woodland_66,"Sunny, hot, breeze","1739","5","Oak, molinia, blaeberry",,59,Rahoy,"4"
58,,Regen_18,"Sun, still, hot","1918","4","Birch, molinia",,154,Rahoy,"1"
59,,Regen_69,"Sun, hot, still","2013","3","Ling, vurch  molinia",,152,Rahoy,"3"
